id,year,player_id,team_id,PA,AB,H,HR,R
1,1992,1,1,99,95,24,0,5
2,1993,1,1,67,64,12,1,3
3,1994,1,1,616,546,210,13,54
4,1995,1,1,613,524,179,25,80
5,1996,1,1,611,542,193,16,84
6,1997,1,1,607,536,185,17,91
7,1998,1,1,558,506,181,13,71
8,1999,1,1,468,411,141,21,68
9,2000,1,1,459,395,153,12,73
10,1981,2,2,6,5,1,0,0
11,1984,2,2,154,140,33,4,14
12,1985,2,2,542,468,118,40,93
13,1986,2,2,562,492,132,41,115
14,1987,2,2,550,496,130,43,94
15,1988,2,2,577,517,151,38,103
16,1989,2,2,555,478,144,31,99
17,1990,2,2,559,476,122,35,91
18,1991,2,2,515,455,135,35,88
19,1992,2,2,566,480,142,31,89
20,1993,2,2,536,470,116,30,72
21,1994,2,3,567,473,120,24,73
22,1995,2,3,529,476,127,21,66
23,1996,2,3,512,466,140,9,66
24,1997,2,3,421,371,91,12,52
25,1998,2,3,473,423,110,10,49
26,1999,2,3,420,386,99,12,44
27,2000,2,3,488,427,112,5,48
28,2001,2,3,287,269,77,11,32
29,2002,2,3,244,229,57,5,24
30,1979,3,5,69,64,15,2,7
31,1980,3,5,188,166,47,15,32
32,1981,3,5,502,423,138,33,90
33,1982,3,5,552,462,150,32,99
34,1983,3,5,497,428,142,25,75
35,1984,3,5,562,456,143,33,94
36,1985,3,5,568,460,169,52,146
37,1986,3,5,522,417,150,50,116
38,1987,3,6,519,432,143,28,85
39,1988,3,6,557,450,132,32,95
40,1989,3,6,559,476,153,40,116
41,1990,3,6,570,458,133,34,102
42,1991,3,6,478,374,127,37,91
43,1992,3,6,481,384,112,22,71
44,1993,3,6,504,396,113,17,65
45,1994,3,7,540,447,125,15,68
46,1995,3,7,483,399,124,17,65
47,1996,3,7,448,376,113,21,86
48,1997,3,8,466,397,104,3,43
49,1998,3,8,192,162,38,2,18
